Model,Motion Regime,Samples,Prediction Step,Top-1,Top-3,Top-5
Proposed Multi-Modal,Hovering-like,999,t+1,0.8838838838838838,1.0,1.0
Proposed Multi-Modal,Hovering-like,999,t+2,0.8688688688688688,0.996996996996997,1.0
Proposed Multi-Modal,Hovering-like,999,t+3,0.8738738738738738,0.995995995995996,1.0
Proposed Multi-Modal,Hovering-like,999,t+4,0.8638638638638638,0.995995995995996,0.998998998998999
Proposed Multi-Modal,Hovering-like,999,t+5,0.8318318318318318,0.98998998998999,0.996996996996997
Proposed Multi-Modal,Constant-speed-like,652,t+1,0.8328220858895705,0.9754601226993865,0.9969325153374233
Proposed Multi-Modal,Constant-speed-like,652,t+2,0.8466257668711656,0.9800613496932515,0.995398773006135
Proposed Multi-Modal,Constant-speed-like,652,t+3,0.8328220858895705,0.9677914110429447,0.995398773006135
Proposed Multi-Modal,Constant-speed-like,652,t+4,0.7883435582822086,0.9647239263803681,0.99079754601227
Proposed Multi-Modal,Constant-speed-like,652,t+5,0.7269938650306749,0.9478527607361963,0.9846625766871165
Proposed Multi-Modal,Maneuvering,1101,t+1,0.8174386920980926,0.9754768392370572,0.9927338782924614
Proposed Multi-Modal,Maneuvering,1101,t+2,0.8165304268846503,0.9754768392370572,0.9900090826521344
Proposed Multi-Modal,Maneuvering,1101,t+3,0.7956403269754768,0.9700272479564033,0.9927338782924614
Proposed Multi-Modal,Maneuvering,1101,t+4,0.776566757493188,0.96094459582198,0.9872842870118075
Proposed Multi-Modal,Maneuvering,1101,t+5,0.7175295186194369,0.9318801089918256,0.9772933696639419
Multi-Modal GRU [27],Hovering-like,999,t+1,0.8218218218218218,0.985985985985986,0.996996996996997
Multi-Modal GRU [27],Hovering-like,999,t+2,0.8048048048048048,0.9819819819819819,0.995995995995996
Multi-Modal GRU [27],Hovering-like,999,t+3,0.8188188188188188,0.982982982982983,0.994994994994995
Multi-Modal GRU [27],Hovering-like,999,t+4,0.7977977977977978,0.97997997997998,0.996996996996997
Multi-Modal GRU [27],Hovering-like,999,t+5,0.7587587587587588,0.96996996996997,0.991991991991992
Multi-Modal GRU [27],Constant-speed-like,652,t+1,0.6211656441717791,0.9263803680981595,0.9877300613496932
Multi-Modal GRU [27],Constant-speed-like,652,t+2,0.7300613496932515,0.9447852760736196,0.9846625766871165
Multi-Modal GRU [27],Constant-speed-like,652,t+3,0.7776073619631901,0.946319018404908,0.9769938650306749
Multi-Modal GRU [27],Constant-speed-like,652,t+4,0.6763803680981595,0.9156441717791411,0.9662576687116564
Multi-Modal GRU [27],Constant-speed-like,652,t+5,0.5460122699386503,0.8788343558282209,0.9585889570552147
Multi-Modal GRU [27],Maneuvering,1101,t+1,0.6267029972752044,0.896457765667575,0.9573115349682108
Multi-Modal GRU [27],Maneuvering,1101,t+2,0.6911898274296094,0.9237057220708447,0.9645776566757494
Multi-Modal GRU [27],Maneuvering,1101,t+3,0.7148047229791099,0.9346049046321526,0.9673024523160763
Multi-Modal GRU [27],Maneuvering,1101,t+4,0.6303360581289736,0.9046321525885559,0.9564032697547684
Multi-Modal GRU [27],Maneuvering,1101,t+5,0.5358764759309719,0.851952770208901,0.9409627611262489
